[10:29:37] [INFO ] QT talking: 'Tutti lo possono aprire, ma nessuno lo sa chiudere. Cos'è?'
[10:29:37] [INFO ] In ascolto (tentativo 1/2)...
[10:29:37] [INFO ] Mostro immagine: listening_icon
[10:29:55] [INFO ] In ascolto (tentativo 1/2)...
[10:29:55] [INFO ] Mostro immagine: listening_icon
[10:29:59] [INFO ] Riconosciuto: Non lo so.
[10:30:11] [INFO ] In ascolto (tentativo 2/2)...
[10:30:11] [INFO ] Mostro immagine: listening_icon
[10:30:16] [INFO ] Riconosciuto: Non mi viene in mente.
[10:30:25] [INFO ] KB: Set function 'n_questions' = 5.0
[10:30:25] [INFO ] KB: Set function 'n_hard' = 1.0
[10:30:25] [INFO ] KB: Set function 'ask_uses' = 2.0
[10:30:25] [INFO ] KB: Set function 'wrong_answers' = 3.0
[10:30:25] [INFO ] KB: Added predicate 'answered_wrong'
[10:30:25] [INFO ] KB: Set function 'robot_e' = 3.44
[10:30:25] [INFO ] KB: Set function 'robot_p' = 2.93
[10:30:25] [INFO ] KB: Set function 'robot_a' = 0.92
[10:30:25] [INFO ] KB: Set function 'robot_e_sq' = 11.8336
[10:30:25] [INFO ] KB: Set function 'robot_p_sq' = 8.5849
[10:30:25] [INFO ] KB: Set function 'robot_a_sq' = 0.8464
[10:30:25] [INFO ] KB: Set function 'human_e' = 3.44
[10:30:25] [INFO ] KB: Set function 'human_p' = 2.93
[10:30:25] [INFO ] KB: Set function 'human_a' = 0.92
[10:30:25] [INFO ] KB: Set function 'human_e_sq' = 11.8336
[10:30:25] [INFO ] KB: Set function 'human_p_sq' = 8.5849
[10:30:25] [INFO ] KB: Set function 'human_a_sq' = 0.8464
